id,state,HS_perc,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher
0400000US01,Alabama,30.9,21.6,8.3,15.6,9.3,85.8,24.9
0400000US02,Alaska,28,27.1,8.4,18.4,10.8,92.7,29.2
0400000US04,Arizona,24,25.3,8.6,18,10.9,86.8,28.9
0400000US05,Arkansas,34.1,22.6,7,14.4,8.1,86.2,22.6
0400000US06,California,20.6,21.3,7.8,20.8,12.5,82.9,33.3
0400000US08,Colorado,21.4,21.4,8.4,25.2,15,91.4,40.1
0400000US09,Connecticut,27.1,16.8,7.7,21.7,17.2,90.5,38.9
0400000US10,Delaware,31.6,19,7.8,18.3,13.1,89.8,31.4
0400000US11,District of Columbia,17.2,12.9,3,24.4,33.2,90.6,57.6
0400000US12,Florida,28.8,20.2,9.8,18.5,10.6,88,29.2
0400000US13,Georgia,27.9,20.5,7.6,18.9,11.7,86.7,30.7
0400000US15,Hawaii,27.7,21,10.6,21.5,11,91.8,32.5
0400000US16,Idaho,27.7,26.4,9.6,18.2,8.7,90.6,26.9
0400000US17,Illinois,26.1,20.7,8,20.8,13.3,88.9,34.1
0400000US18,Indiana,33.5,20.4,8.7,16.5,9.4,88.6,25.9
0400000US19,Iowa,31.1,21.2,11.5,19,9.2,92,28.2
0400000US20,Kansas,26,23.3,8.5,20.8,12.1,90.7,32.9
0400000US21,Kentucky,33,20.9,8.1,13.8,9.8,85.7,23.6
0400000US22,Louisiana,34,21.1,6,15.5,8.2,84.8,23.7
0400000US23,Maine,31.8,19.6,10,19.6,11.3,92.3,30.9
0400000US24,Maryland,24.8,18.9,6.6,21.3,18.3,90,39.6
0400000US25,Massachusetts,24.2,15.6,7.7,23.8,19.1,90.4,42.9
0400000US26,Michigan,29,23.5,9.4,17.4,11.2,90.5,28.6
0400000US27,Minnesota,24.9,21.2,11.4,23.3,12.1,93,35.4
0400000US28,Mississippi,30.3,22.4,9.4,13.5,8.3,83.9,21.8
0400000US29,Missouri,30.7,22.4,7.8,17.7,10.9,89.6,28.6
0400000US30,Montana,29.2,23.8,9,20.8,10.4,93.2,31.2
0400000US31,Nebraska,26.3,23,10.5,20.8,10.5,91.1,31.3
0400000US32,Nevada,28.1,25.7,8.2,15.9,8.4,86.3,24.2
0400000US33,New Hampshire,27.6,18.7,10.1,22.4,14.1,92.9,36.5
0400000US34,New Jersey,27.5,16.6,6.5,23.8,15.1,89.5,38.9
0400000US35,New Mexico,26.4,23.5,8.2,15.3,11.8,85.3,27.1
0400000US36,New York,26.1,15.7,8.7,20.2,15.7,86.5,35.9
0400000US37,North Carolina,25.9,21.5,9.5,19.6,10.9,87.4,30.5
0400000US38,North Dakota,26.8,22.6,13.7,21.5,7.9,92.5,29.5
0400000US39,Ohio,33.3,20.5,8.6,17.3,10.5,90.1,27.8
0400000US40,Oklahoma,31.3,23.6,7.7,16.7,8.5,87.8,25.2
0400000US41,Oregon,23,25.7,8.8,20.5,12.4,90.4,32.9
0400000US42,Pennsylvania,35.1,16,8.3,18.6,12.1,90.2,30.8
0400000US44,Rhode Island,28.2,18.2,8.3,19.9,13.4,88,33.3
0400000US45,South Carolina,29.5,20.6,9.6,17.4,10,87.1,27.4
0400000US46,South Dakota,30.6,21.2,11.5,19.8,8.6,91.7,28.5
0400000US47,Tennessee,32.4,20.8,7.1,16.8,9.8,87,26.6
0400000US48,Texas,25,21.8,7.1,19.1,10.2,83.2,29.3
0400000US49,Utah,22.9,26.1,9.8,22,11.3,92,33.3
0400000US50,Vermont,29.2,17.6,8.5,22.1,15.3,92.6,37.3
0400000US51,Virginia,24.1,19.4,7.6,21.7,16.4,89.3,38.2
0400000US53,Washington,22.2,23.7,10,22.1,13.2,91.1,35.3
0400000US54,West Virginia,40.5,18.6,7.1,12.2,8,86.5,20.3
0400000US55,Wisconsin,30.9,20.7,10.7,19.4,10.1,91.9,29.5
0400000US56,Wyoming,28.7,26.3,11,17.4,9.5,92.9,26.9
0400000US72,Puerto Rico,null,null,null,null,null,null,null