"","week","date","state","weekly_death","cum_death"
"Alabama.1",4,2020-01-21,"Alabama",0,0
"Alabama.2",5,2020-01-28,"Alabama",0,0
"Alabama.3",6,2020-02-04,"Alabama",0,0
"Alabama.4",7,2020-02-11,"Alabama",0,0
"Alabama.5",8,2020-02-18,"Alabama",0,0
"Alabama.6",9,2020-02-25,"Alabama",0,0
"Alabama.7",10,2020-03-03,"Alabama",0,0
"Alabama.8",11,2020-03-10,"Alabama",0,0
"Alabama.9",12,2020-03-17,"Alabama",0,0
"Alabama.10",13,2020-03-24,"Alabama",10,10
"Alabama.11",14,2020-03-31,"Alabama",39,49
"Alabama.12",15,2020-04-07,"Alabama",50,99
"Alabama.13",16,2020-04-14,"Alabama",64,163
"Alabama.14",17,2020-04-21,"Alabama",65,228
"Alabama.15",18,2020-04-28,"Alabama",70,298
"Alabama.16",19,2020-05-05,"Alabama",105,403
"Alabama.17",20,2020-05-12,"Alabama",86,489
"Alabama.18",21,2020-05-19,"Alabama",77,566
"Alabama.19",22,2020-05-26,"Alabama",14,580
"Alaska.20",4,2020-01-21,"Alaska",0,0
"Alaska.21",5,2020-01-28,"Alaska",0,0
"Alaska.22",6,2020-02-04,"Alaska",0,0
"Alaska.23",7,2020-02-11,"Alaska",0,0
"Alaska.24",8,2020-02-18,"Alaska",0,0
"Alaska.25",9,2020-02-25,"Alaska",0,0
"Alaska.26",10,2020-03-03,"Alaska",0,0
"Alaska.27",11,2020-03-10,"Alaska",0,0
"Alaska.28",12,2020-03-17,"Alaska",0,0
"Alaska.29",13,2020-03-24,"Alaska",3,3
"Alaska.30",14,2020-03-31,"Alaska",3,6
"Alaska.31",15,2020-04-07,"Alaska",2,8
"Alaska.32",16,2020-04-14,"Alaska",1,9
"Alaska.33",17,2020-04-21,"Alaska",0,9
"Alaska.34",18,2020-04-28,"Alaska",0,9
"Alaska.35",19,2020-05-05,"Alaska",1,10
"Alaska.36",20,2020-05-12,"Alaska",0,10
"Alaska.37",21,2020-05-19,"Alaska",0,10
"Alaska.38",22,2020-05-26,"Alaska",0,10
"American Samoa.39",4,2020-01-21,"American Samoa",0,0
"American Samoa.40",5,2020-01-28,"American Samoa",0,0
"American Samoa.41",6,2020-02-04,"American Samoa",0,0
"American Samoa.42",7,2020-02-11,"American Samoa",0,0
"American Samoa.43",8,2020-02-18,"American Samoa",0,0
"American Samoa.44",9,2020-02-25,"American Samoa",0,0
"American Samoa.45",10,2020-03-03,"American Samoa",0,0
"American Samoa.46",11,2020-03-10,"American Samoa",0,0
"American Samoa.47",12,2020-03-17,"American Samoa",0,0
"American Samoa.48",13,2020-03-24,"American Samoa",0,0
"American Samoa.49",14,2020-03-31,"American Samoa",0,0
"American Samoa.50",15,2020-04-07,"American Samoa",0,0
"American Samoa.51",16,2020-04-14,"American Samoa",0,0
"American Samoa.52",17,2020-04-21,"American Samoa",0,0
"American Samoa.53",18,2020-04-28,"American Samoa",0,0
"American Samoa.54",19,2020-05-05,"American Samoa",0,0
"American Samoa.55",20,2020-05-12,"American Samoa",0,0
"American Samoa.56",21,2020-05-19,"American Samoa",0,0
"American Samoa.57",22,2020-05-26,"American Samoa",0,0
"Arizona.58",4,2020-01-21,"Arizona",0,0
"Arizona.59",5,2020-01-28,"Arizona",0,0
"Arizona.60",6,2020-02-04,"Arizona",0,0
"Arizona.61",7,2020-02-11,"Arizona",0,0
"Arizona.62",8,2020-02-18,"Arizona",0,0
"Arizona.63",9,2020-02-25,"Arizona",0,0
"Arizona.64",10,2020-03-03,"Arizona",0,0
"Arizona.65",11,2020-03-10,"Arizona",0,0
"Arizona.66",12,2020-03-17,"Arizona",2,2
"Arizona.67",13,2020-03-24,"Arizona",18,20
"Arizona.68",14,2020-03-31,"Arizona",45,65
"Arizona.69",15,2020-04-07,"Arizona",67,132
"Arizona.70",16,2020-04-14,"Arizona",59,191
"Arizona.71",17,2020-04-21,"Arizona",84,275
"Arizona.72",18,2020-04-28,"Arizona",87,362
"Arizona.73",19,2020-05-05,"Arizona",180,542
"Arizona.74",20,2020-05-12,"Arizona",145,687
"Arizona.75",21,2020-05-19,"Arizona",120,807
"Arizona.76",22,2020-05-26,"Arizona",3,810
"Arkansas.77",4,2020-01-21,"Arkansas",0,0
"Arkansas.78",5,2020-01-28,"Arkansas",0,0
"Arkansas.79",6,2020-02-04,"Arkansas",0,0
"Arkansas.80",7,2020-02-11,"Arkansas",0,0
"Arkansas.81",8,2020-02-18,"Arkansas",0,0
"Arkansas.82",9,2020-02-25,"Arkansas",0,0
"Arkansas.83",10,2020-03-03,"Arkansas",0,0
"Arkansas.84",11,2020-03-10,"Arkansas",0,0
"Arkansas.85",12,2020-03-17,"Arkansas",0,0
"Arkansas.86",13,2020-03-24,"Arkansas",7,7
"Arkansas.87",14,2020-03-31,"Arkansas",9,16
"Arkansas.88",15,2020-04-07,"Arkansas",13,29
"Arkansas.89",16,2020-04-14,"Arkansas",12,41
"Arkansas.90",17,2020-04-21,"Arkansas",10,51
"Arkansas.91",18,2020-04-28,"Arkansas",29,80
"Arkansas.92",19,2020-05-05,"Arkansas",14,94
"Arkansas.93",20,2020-05-12,"Arkansas",6,100
"Arkansas.94",21,2020-05-19,"Arkansas",17,117
"Arkansas.95",22,2020-05-26,"Arkansas",2,119
"California.96",4,2020-01-21,"California",0,0
"California.97",5,2020-01-28,"California",0,0
"California.98",6,2020-02-04,"California",0,0
"California.99",7,2020-02-11,"California",0,0
"California.100",8,2020-02-18,"California",0,0
"California.101",9,2020-02-25,"California",0,0
"California.102",10,2020-03-03,"California",1,1
"California.103",11,2020-03-10,"California",6,7
"California.104",12,2020-03-17,"California",32,39
"California.105",13,2020-03-24,"California",107,146
"California.106",14,2020-03-31,"California",234,380
"California.107",15,2020-04-07,"California",334,714
"California.108",16,2020-04-14,"California",511,1225
"California.109",17,2020-04-21,"California",554,1779
"California.110",18,2020-04-28,"California",499,2278
"California.111",19,2020-05-05,"California",501,2779
"California.112",20,2020-05-12,"California",500,3279
"California.113",21,2020-05-19,"California",490,3769
"California.114",22,2020-05-26,"California",50,3819
"Colorado.115",4,2020-01-21,"Colorado",0,0
"Colorado.116",5,2020-01-28,"Colorado",0,0
"Colorado.117",6,2020-02-04,"Colorado",0,0
"Colorado.118",7,2020-02-11,"Colorado",0,0
"Colorado.119",8,2020-02-18,"Colorado",0,0
"Colorado.120",9,2020-02-25,"Colorado",0,0
"Colorado.121",10,2020-03-03,"Colorado",0,0
"Colorado.122",11,2020-03-10,"Colorado",2,2
"Colorado.123",12,2020-03-17,"Colorado",5,7
"Colorado.124",13,2020-03-24,"Colorado",44,51
"Colorado.125",14,2020-03-31,"Colorado",99,150
"Colorado.126",15,2020-04-07,"Colorado",156,306
"Colorado.127",16,2020-04-14,"Colorado",141,447
"Colorado.128",17,2020-04-21,"Colorado",259,706
"Colorado.129",18,2020-04-28,"Colorado",145,851
"Colorado.130",19,2020-05-05,"Colorado",136,987
"Colorado.131",20,2020-05-12,"Colorado",237,1224
"Colorado.132",21,2020-05-19,"Colorado",109,1333
"Colorado.133",22,2020-05-26,"Colorado",19,1352
"Connecticut.134",4,2020-01-21,"Connecticut",0,0
"Connecticut.135",5,2020-01-28,"Connecticut",0,0
"Connecticut.136",6,2020-02-04,"Connecticut",0,0
"Connecticut.137",7,2020-02-11,"Connecticut",0,0
"Connecticut.138",8,2020-02-18,"Connecticut",0,0
"Connecticut.139",9,2020-02-25,"Connecticut",0,0
"Connecticut.140",10,2020-03-03,"Connecticut",0,0
"Connecticut.141",11,2020-03-10,"Connecticut",0,0
"Connecticut.142",12,2020-03-17,"Connecticut",10,10
"Connecticut.143",13,2020-03-24,"Connecticut",26,36
"Connecticut.144",14,2020-03-31,"Connecticut",170,206
"Connecticut.145",15,2020-04-07,"Connecticut",396,602
"Connecticut.146",16,2020-04-14,"Connecticut",729,1331
"Connecticut.147",17,2020-04-21,"Connecticut",681,2012
"Connecticut.148",18,2020-04-28,"Connecticut",544,2556
"Connecticut.149",19,2020-05-05,"Connecticut",452,3008
"Connecticut.150",20,2020-05-12,"Connecticut",442,3450
"Connecticut.151",21,2020-05-19,"Connecticut",292,3742
"Connecticut.152",22,2020-05-26,"Connecticut",27,3769
"Delaware.153",4,2020-01-21,"Delaware",0,0
"Delaware.154",5,2020-01-28,"Delaware",0,0
"Delaware.155",6,2020-02-04,"Delaware",0,0
"Delaware.156",7,2020-02-11,"Delaware",0,0
"Delaware.157",8,2020-02-18,"Delaware",0,0
"Delaware.158",9,2020-02-25,"Delaware",0,0
"Delaware.159",10,2020-03-03,"Delaware",0,0
"Delaware.160",11,2020-03-10,"Delaware",0,0
"Delaware.161",12,2020-03-17,"Delaware",0,0
"Delaware.162",13,2020-03-24,"Delaware",6,6
"Delaware.163",14,2020-03-31,"Delaware",9,15
"Delaware.164",15,2020-04-07,"Delaware",26,41
"Delaware.165",16,2020-04-14,"Delaware",31,72
"Delaware.166",17,2020-04-21,"Delaware",53,125
"Delaware.167",18,2020-04-28,"Delaware",57,182
"Delaware.168",19,2020-05-05,"Delaware",43,225
"Delaware.169",20,2020-05-12,"Delaware",72,297
"Delaware.170",21,2020-05-19,"Delaware",35,332
"Delaware.171",22,2020-05-26,"Delaware",3,335
"Diamond Princess.172",4,2020-01-21,"Diamond Princess",0,0
"Diamond Princess.173",5,2020-01-28,"Diamond Princess",0,0
"Diamond Princess.174",6,2020-02-04,"Diamond Princess",0,0
"Diamond Princess.175",7,2020-02-11,"Diamond Princess",0,0
"Diamond Princess.176",8,2020-02-18,"Diamond Princess",0,0
"Diamond Princess.177",9,2020-02-25,"Diamond Princess",0,0
"Diamond Princess.178",10,2020-03-03,"Diamond Princess",0,0
"Diamond Princess.179",11,2020-03-10,"Diamond Princess",0,0
"Diamond Princess.180",12,2020-03-17,"Diamond Princess",0,0
"Diamond Princess.181",13,2020-03-24,"Diamond Princess",0,0
"Diamond Princess.182",14,2020-03-31,"Diamond Princess",0,0
"Diamond Princess.183",15,2020-04-07,"Diamond Princess",0,0
"Diamond Princess.184",16,2020-04-14,"Diamond Princess",0,0
"Diamond Princess.185",17,2020-04-21,"Diamond Princess",0,0
"Diamond Princess.186",18,2020-04-28,"Diamond Princess",0,0
"Diamond Princess.187",19,2020-05-05,"Diamond Princess",0,0
"Diamond Princess.188",20,2020-05-12,"Diamond Princess",0,0
"Diamond Princess.189",21,2020-05-19,"Diamond Princess",0,0
"Diamond Princess.190",22,2020-05-26,"Diamond Princess",0,0
"District of Columbia.191",4,2020-01-21,"District of Columbia",0,0
"District of Columbia.192",5,2020-01-28,"District of Columbia",0,0
"District of Columbia.193",6,2020-02-04,"District of Columbia",0,0
"District of Columbia.194",7,2020-02-11,"District of Columbia",0,0
"District of Columbia.195",8,2020-02-18,"District of Columbia",0,0
"District of Columbia.196",9,2020-02-25,"District of Columbia",0,0
"District of Columbia.197",10,2020-03-03,"District of Columbia",0,0
"District of Columbia.198",11,2020-03-10,"District of Columbia",0,0
"District of Columbia.199",12,2020-03-17,"District of Columbia",2,2
"District of Columbia.200",13,2020-03-24,"District of Columbia",7,9
"District of Columbia.201",14,2020-03-31,"District of Columbia",15,24
"District of Columbia.202",15,2020-04-07,"District of Columbia",28,52
"District of Columbia.203",16,2020-04-14,"District of Columbia",53,105
"District of Columbia.204",17,2020-04-21,"District of Columbia",80,185
"District of Columbia.205",18,2020-04-28,"District of Columbia",73,258
"District of Columbia.206",19,2020-05-05,"District of Columbia",70,328
"District of Columbia.207",20,2020-05-12,"District of Columbia",64,392
"District of Columbia.208",21,2020-05-19,"District of Columbia",48,440
"District of Columbia.209",22,2020-05-26,"District of Columbia",0,440
"Florida.210",4,2020-01-21,"Florida",0,0
"Florida.211",5,2020-01-28,"Florida",0,0
"Florida.212",6,2020-02-04,"Florida",0,0
"Florida.213",7,2020-02-11,"Florida",0,0
"Florida.214",8,2020-02-18,"Florida",0,0
"Florida.215",9,2020-02-25,"Florida",0,0
"Florida.216",10,2020-03-03,"Florida",2,2
"Florida.217",11,2020-03-10,"Florida",1,3
"Florida.218",12,2020-03-17,"Florida",15,18
"Florida.219",13,2020-03-24,"Florida",45,63
"Florida.220",14,2020-03-31,"Florida",173,236
"Florida.221",15,2020-04-07,"Florida",263,499
"Florida.222",16,2020-04-14,"Florida",323,822
"Florida.223",17,2020-04-21,"Florida",266,1088
"Florida.224",18,2020-04-28,"Florida",311,1399
"Florida.225",19,2020-05-05,"Florida",336,1735
"Florida.226",20,2020-05-12,"Florida",262,1997
"Florida.227",21,2020-05-19,"Florida",255,2252
"Florida.228",22,2020-05-26,"Florida",7,2259
"Georgia.229",4,2020-01-21,"Georgia",0,0
"Georgia.230",5,2020-01-28,"Georgia",0,0
"Georgia.231",6,2020-02-04,"Georgia",0,0
"Georgia.232",7,2020-02-11,"Georgia",0,0
"Georgia.233",8,2020-02-18,"Georgia",0,0
"Georgia.234",9,2020-02-25,"Georgia",0,0
"Georgia.235",10,2020-03-03,"Georgia",0,0
"Georgia.236",11,2020-03-10,"Georgia",1,1
"Georgia.237",12,2020-03-17,"Georgia",24,25
"Georgia.238",13,2020-03-24,"Georgia",62,87
"Georgia.239",14,2020-03-31,"Georgia",142,229
"Georgia.240",15,2020-04-07,"Georgia",236,465
"Georgia.241",16,2020-04-14,"Georgia",310,775
"Georgia.242",17,2020-04-21,"Georgia",220,995
"Georgia.243",18,2020-04-28,"Georgia",251,1246
"Georgia.244",19,2020-05-05,"Georgia",198,1444
"Georgia.245",20,2020-05-12,"Georgia",205,1649
"Georgia.246",21,2020-05-19,"Georgia",199,1848
"Georgia.247",22,2020-05-26,"Georgia",48,1896
"Grand Princess.248",4,2020-01-21,"Grand Princess",0,0
"Grand Princess.249",5,2020-01-28,"Grand Princess",0,0
"Grand Princess.250",6,2020-02-04,"Grand Princess",0,0
"Grand Princess.251",7,2020-02-11,"Grand Princess",0,0
"Grand Princess.252",8,2020-02-18,"Grand Princess",0,0
"Grand Princess.253",9,2020-02-25,"Grand Princess",0,0
"Grand Princess.254",10,2020-03-03,"Grand Princess",0,0
"Grand Princess.255",11,2020-03-10,"Grand Princess",0,0
"Grand Princess.256",12,2020-03-17,"Grand Princess",1,1
"Grand Princess.257",13,2020-03-24,"Grand Princess",2,3
"Grand Princess.258",14,2020-03-31,"Grand Princess",0,3
"Grand Princess.259",15,2020-04-07,"Grand Princess",-3,0
"Grand Princess.260",16,2020-04-14,"Grand Princess",0,0
"Grand Princess.261",17,2020-04-21,"Grand Princess",3,3
"Grand Princess.262",18,2020-04-28,"Grand Princess",0,3
"Grand Princess.263",19,2020-05-05,"Grand Princess",0,3
"Grand Princess.264",20,2020-05-12,"Grand Princess",0,3
"Grand Princess.265",21,2020-05-19,"Grand Princess",0,3
"Grand Princess.266",22,2020-05-26,"Grand Princess",0,3
"Guam.267",4,2020-01-21,"Guam",0,0
"Guam.268",5,2020-01-28,"Guam",0,0
"Guam.269",6,2020-02-04,"Guam",0,0
"Guam.270",7,2020-02-11,"Guam",0,0
"Guam.271",8,2020-02-18,"Guam",0,0
"Guam.272",9,2020-02-25,"Guam",0,0
"Guam.273",10,2020-03-03,"Guam",0,0
"Guam.274",11,2020-03-10,"Guam",0,0
"Guam.275",12,2020-03-17,"Guam",1,1
"Guam.276",13,2020-03-24,"Guam",0,1
"Guam.277",14,2020-03-31,"Guam",3,4
"Guam.278",15,2020-04-07,"Guam",1,5
"Guam.279",16,2020-04-14,"Guam",0,5
"Guam.280",17,2020-04-21,"Guam",0,5
"Guam.281",18,2020-04-28,"Guam",0,5
"Guam.282",19,2020-05-05,"Guam",0,5
"Guam.283",20,2020-05-12,"Guam",0,5
"Guam.284",21,2020-05-19,"Guam",0,5
"Guam.285",22,2020-05-26,"Guam",0,5
"Hawaii.286",4,2020-01-21,"Hawaii",0,0
"Hawaii.287",5,2020-01-28,"Hawaii",0,0
"Hawaii.288",6,2020-02-04,"Hawaii",0,0
"Hawaii.289",7,2020-02-11,"Hawaii",0,0
"Hawaii.290",8,2020-02-18,"Hawaii",0,0
"Hawaii.291",9,2020-02-25,"Hawaii",0,0
"Hawaii.292",10,2020-03-03,"Hawaii",0,0
"Hawaii.293",11,2020-03-10,"Hawaii",0,0
"Hawaii.294",12,2020-03-17,"Hawaii",0,0
"Hawaii.295",13,2020-03-24,"Hawaii",0,0
"Hawaii.296",14,2020-03-31,"Hawaii",5,5
"Hawaii.297",15,2020-04-07,"Hawaii",4,9
"Hawaii.298",16,2020-04-14,"Hawaii",1,10
"Hawaii.299",17,2020-04-21,"Hawaii",6,16
"Hawaii.300",18,2020-04-28,"Hawaii",1,17
"Hawaii.301",19,2020-05-05,"Hawaii",0,17
"Hawaii.302",20,2020-05-12,"Hawaii",0,17
"Hawaii.303",21,2020-05-19,"Hawaii",0,17
"Hawaii.304",22,2020-05-26,"Hawaii",0,17
"Idaho.305",4,2020-01-21,"Idaho",0,0
"Idaho.306",5,2020-01-28,"Idaho",0,0
"Idaho.307",6,2020-02-04,"Idaho",0,0
"Idaho.308",7,2020-02-11,"Idaho",0,0
"Idaho.309",8,2020-02-18,"Idaho",0,0
"Idaho.310",9,2020-02-25,"Idaho",0,0
"Idaho.311",10,2020-03-03,"Idaho",0,0
"Idaho.312",11,2020-03-10,"Idaho",0,0
"Idaho.313",12,2020-03-17,"Idaho",0,0
"Idaho.314",13,2020-03-24,"Idaho",6,6
"Idaho.315",14,2020-03-31,"Idaho",4,10
"Idaho.316",15,2020-04-07,"Idaho",17,27
"Idaho.317",16,2020-04-14,"Idaho",18,45
"Idaho.318",17,2020-04-21,"Idaho",11,56
"Idaho.319",18,2020-04-28,"Idaho",8,64
"Idaho.320",19,2020-05-05,"Idaho",6,70
"Idaho.321",20,2020-05-12,"Idaho",4,74
"Idaho.322",21,2020-05-19,"Idaho",5,79
"Idaho.323",22,2020-05-26,"Idaho",0,79
"Illinois.324",4,2020-01-21,"Illinois",0,0
"Illinois.325",5,2020-01-28,"Illinois",0,0
"Illinois.326",6,2020-02-04,"Illinois",0,0
"Illinois.327",7,2020-02-11,"Illinois",0,0
"Illinois.328",8,2020-02-18,"Illinois",0,0
"Illinois.329",9,2020-02-25,"Illinois",0,0
"Illinois.330",10,2020-03-03,"Illinois",0,0
"Illinois.331",11,2020-03-10,"Illinois",0,0
"Illinois.332",12,2020-03-17,"Illinois",12,12
"Illinois.333",13,2020-03-24,"Illinois",61,73
"Illinois.334",14,2020-03-31,"Illinois",234,307
"Illinois.335",15,2020-04-07,"Illinois",491,798
"Illinois.336",16,2020-04-14,"Illinois",551,1349
"Illinois.337",17,2020-04-21,"Illinois",634,1983
"Illinois.338",18,2020-04-28,"Illinois",676,2659
"Illinois.339",19,2020-05-05,"Illinois",800,3459
"Illinois.340",20,2020-05-12,"Illinois",775,4234
"Illinois.341",21,2020-05-19,"Illinois",651,4885
"Illinois.342",22,2020-05-26,"Illinois",38,4923
"Indiana.343",4,2020-01-21,"Indiana",0,0
"Indiana.344",5,2020-01-28,"Indiana",0,0
"Indiana.345",6,2020-02-04,"Indiana",0,0
"Indiana.346",7,2020-02-11,"Indiana",0,0
"Indiana.347",8,2020-02-18,"Indiana",0,0
"Indiana.348",9,2020-02-25,"Indiana",0,0
"Indiana.349",10,2020-03-03,"Indiana",0,0
"Indiana.350",11,2020-03-10,"Indiana",1,1
"Indiana.351",12,2020-03-17,"Indiana",6,7
"Indiana.352",13,2020-03-24,"Indiana",28,35
"Indiana.353",14,2020-03-31,"Indiana",108,143
"Indiana.354",15,2020-04-07,"Indiana",207,350
"Indiana.355",16,2020-04-14,"Indiana",227,577
"Indiana.356",17,2020-04-21,"Indiana",267,844
"Indiana.357",18,2020-04-28,"Indiana",307,1151
"Indiana.358",19,2020-05-05,"Indiana",389,1540
"Indiana.359",20,2020-05-12,"Indiana",225,1765
"Indiana.360",21,2020-05-19,"Indiana",219,1984
"Indiana.361",22,2020-05-26,"Indiana",20,2004
"Iowa.362",4,2020-01-21,"Iowa",0,0
"Iowa.363",5,2020-01-28,"Iowa",0,0
"Iowa.364",6,2020-02-04,"Iowa",0,0
"Iowa.365",7,2020-02-11,"Iowa",0,0
"Iowa.366",8,2020-02-18,"Iowa",0,0
"Iowa.367",9,2020-02-25,"Iowa",0,0
"Iowa.368",10,2020-03-03,"Iowa",0,0
"Iowa.369",11,2020-03-10,"Iowa",0,0
"Iowa.370",12,2020-03-17,"Iowa",0,0
"Iowa.371",13,2020-03-24,"Iowa",6,6
"Iowa.372",14,2020-03-31,"Iowa",19,25
"Iowa.373",15,2020-04-07,"Iowa",16,41
"Iowa.374",16,2020-04-14,"Iowa",38,79
"Iowa.375",17,2020-04-21,"Iowa",48,127
"Iowa.376",18,2020-04-28,"Iowa",61,188
